date,open,high,low,close,volume,dividends,stock splits,symbol,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,label_tbm,label_trend
2022-09-16 00:00:00+00:00,19704.005859375,19870.62890625,19400.076171875,19772.583984375,30123362273,0.0,0.0,BTC-USD,-305.9709009044527,53.82959317862117,-359.8004940830739,42.68864431581497,20208.013964843754,21771.017812500002,29719.414013671874,20561.789312848272,21364.059974590364,0,-1
2022-09-17 00:00:00+00:00,19777.033203125,20162.53125,19777.033203125,20127.576171875,24957448100,0.0,0.0,BTC-USD,-305.67895592169225,43.29723052910532,-348.97618645079757,45.60735841762343,20233.552050781254,21697.476679687497,29598.2787109375,20520.435680374627,21315.570413699566,0,1
2022-09-18 00:00:00+00:00,20127.234375,20127.234375,19387.4921875,19419.505859375,31254779144,0.0,0.0,BTC-USD,-358.4509446853772,-7.579806587663654,-350.8711380977135,41.11015751238753,20189.627636718753,21612.74265625,29475.755654296874,20415.585221231806,21241.214940980957,0,1
2022-09-19 00:00:00+00:00,19418.572265625,19639.48046875,18390.318359375,19544.12890625,40177002624,0.0,0.0,BTC-USD,-385.77016924028067,-27.9192249140537,-357.85094432622697,42.19062647572133,20176.99365234375,21536.887304687498,29361.217353515625,20332.589381709728,21174.662547462096,0,1
2022-09-20 00:00:00+00:00,19545.591796875,19602.45703125,18813.455078125,18890.7890625,36791346508,0.0,0.0,BTC-USD,-454.8961569913845,-77.63617013212598,-377.2599868592585,38.23051414674319,20119.044921875,21448.4191015625,29259.983271484372,20195.275065594513,21085.09888138515,0,1
2022-09-21 00:00:00+00:00,18891.283203125,19674.630859375,18290.314453125,18547.400390625,46363793975,0.0,0.0,BTC-USD,-531.2635211397828,-123.20282742441941,-408.0606937153634,36.301870305771814,20040.05791015625,21359.804765625,29155.71734375,20038.33462035932,20985.581293512205,0,1
2022-09-22 00:00:00+00:00,18534.650390625,19456.91015625,18415.591796875,19413.55078125,41135767926,0.0,0.0,BTC-USD,-515.9465984011767,-86.3087237486506,-429.63787465252614,43.97878079977866,20012.246875,21291.145625,29060.685175781247,19978.831397587004,20923.933038129377,0,1
2022-09-23 00:00:00+00:00,19412.400390625,19464.671875,18617.552734375,19297.638671875,38896078052,0.0,0.0,BTC-USD,-507.3129770786145,-62.14008194087069,-445.1728951377438,43.22794567623371,19985.5244140625,21224.479257812498,28966.863173828126,19913.95589990015,20860.156788472344,0,1
2022-09-24 00:00:00+00:00,19296.990234375,19310.197265625,18861.974609375,18937.01171875,26149643168,0.0,0.0,BTC-USD,-523.5353614532032,-62.68997305236746,-460.84538840083576,40.888990799960716,19933.039355468747,21137.433203125,28867.86188476562,19820.913596933467,20784.739334757745,0,1
2022-09-25 00:00:00+00:00,18936.310546875,19134.732421875,18696.46875,18802.09765625,23359966112,0.0,0.0,BTC-USD,-541.0413671717142,-64.15678301670272,-476.8845841550115,40.01665882523397,19882.52568359375,21054.2495703125,28751.95774414062,19723.883507344566,20706.988680698618,0,1
2022-09-26 00:00:00+00:00,18803.900390625,19274.873046875,18721.28515625,19222.671875,44148798321,0.0,0.0,BTC-USD,-515.0411050033508,-30.525216678671427,-484.5158883246794,44.025645426655714,19901.77587890625,20975.1851953125,28650.883798828123,19676.149066168895,20648.78017851436,0,1
2022-09-27 00:00:00+00:00,19221.83984375,20338.455078125,18915.66796875,19110.546875,58571439619,0.0,0.0,BTC-USD,-497.7455593728264,-10.583736838517552,-487.16182253430884,43.19675042359734,19892.787011718752,20881.20640625,28552.461669921875,19622.282190819475,20588.45730386674,0,-1
2022-09-28 00:00:00+00:00,19104.62109375,19688.34375,18553.296875,19426.720703125,53071298734,0.0,0.0,BTC-USD,-453.30076030335476,27.088849784763283,-480.38961008811805,46.26880170478148,19897.63134765625,20806.454453125,28455.07521484375,19603.657287229526,20542.899005798434,0,1
2022-09-29 00:00:00+00:00,19427.779296875,19589.265625,18924.353515625,19573.05078125,41037843771,0.0,0.0,BTC-USD,-401.64046123549633,62.99931908209743,-464.63978031759376,47.67913755017516,19807.226269531253,20718.9626171875,28363.692148437498,19600.742381898144,20504.865742090653,0,1
2022-09-30 00:00:00+00:00,19573.431640625,20109.849609375,19265.662109375,19431.7890625,43975248085,0.0,0.0,BTC-USD,-367.8575097722387,77.4258164362841,-445.2833262085228,46.412630061009935,19694.788769531253,20628.4478125,28262.517324218752,19584.65158957451,20462.784303675333,0,1
2022-10-01 00:00:00+00:00,19431.10546875,19471.154296875,19231.08203125,19312.095703125,18719537670,0.0,0.0,BTC-USD,-346.74546524521793,78.8302887706439,-425.57575401586183,45.31427029560026,19571.93076171875,20526.633359375002,28162.383876953125,19558.693886103127,20417.6592605165,0,-1
2022-10-02 00:00:00+00:00,19311.849609375,19370.30859375,18970.62109375,19044.107421875,20765955327,0.0,0.0,BTC-USD,-347.6311568950405,62.3556776966571,-409.9868345916976,42.86817239219859,19405.613671875,20419.034140625,28051.884765625,19509.685651414733,20363.79448253056,0,-1
2022-10-03 00:00:00+00:00,19044.068359375,19653.54296875,19025.2265625,19623.580078125,30484729489,0.0,0.0,BTC-USD,-298.1377272686077,89.47928585847194,-387.61701312707964,49.247802819894495,19371.95732421875,20325.1190625,27945.245771484377,19520.532739672857,20334.76646667152,0,-1
2022-10-04 00:00:00+00:00,19623.583984375,20380.34375,19523.83984375,20336.84375,35887278685,0.0,0.0,BTC-USD,-199.06471624626283,150.84183750465348,-349.9065537509163,55.79152402439834,19376.74501953125,20249.116484374998,27837.924208984376,19598.2766454183,20334.847928762836,0,-1
2022-10-05 00:00:00+00:00,20335.900390625,20343.748046875,19801.80078125,20160.716796875,33223790572,0.0,0.0,BTC-USD,-133.22488089404214,173.34533828549934,-306.5702191795415,53.94201067418964,19399.7203125,20174.665,27727.77453125,19651.84237412846,20328.019256924097,0,-1
2022-10-06 00:00:00+00:00,20161.0390625,20408.392578125,19900.087890625,19955.443359375,34711412966,0.0,0.0,BTC-USD,-96.49782107797728,168.05791848125136,-264.55573955922864,51.787227751286615,19408.86328125,20107.05390625,27621.312626953124,19680.756753675752,20313.408437412367,0,-1
2022-10-07 00:00:00+00:00,19957.55859375,20041.0859375,19395.79296875,19546.849609375,29227315390,0.0,0.0,BTC-USD,-99.21774206450573,132.27039799577835,-231.48814006028408,47.702516753624614,19379.826953125,20033.7361328125,27513.65689453125,19668.003692313778,20283.3473069011,0,1
2022-10-08 00:00:00+00:00,19546.328125,19601.6953125,19299.4140625,19416.568359375,16437423167,0.0,0.0,BTC-USD,-110.61085403897232,96.70182881704943,-207.31268285602175,46.44460880427838,19379.680078125,20004.5164453125,27398.945693359376,19644.05747012913,20249.35597562557,0,1
2022-10-09 00:00:00+00:00,19417.478515625,19542.5390625,19349.259765625,19446.42578125,16837262532,0.0,0.0,BTC-USD,-115.89477017664103,73.1343301435046,-189.02910032014563,46.79090562731876,19374.794921875,19970.12375,27281.713037109374,19625.23540452159,20217.868517022605,0,1
2022-10-10 00:00:00+00:00,19446.416015625,19515.466796875,19102.978515625,19141.484375,27425022774,0.0,0.0,BTC-USD,-143.03966257593493,36.791550195368586,-179.8312127713035,43.68407730346097,19387.3296875,19922.271015625003,27157.615791015625,19579.16387790049,20175.65737419819,0,1
2022-10-11 00:00:00+00:00,19139.0,19241.9609375,18925.603515625,19051.41796875,28711532910,0.0,0.0,BTC-USD,-169.8617313352006,7.975585148882317,-177.83731648408292,42.78056628590659,19412.53056640625,19875.3212109375,27031.129228515623,19528.9023627433,20131.569554376692,0,1
2022-10-12 00:00:00+00:00,19052.646484375,19203.19921875,19029.7578125,19157.4453125,24950173846,0.0,0.0,BTC-USD,-180.4824047211223,-2.116070589631505,-178.3663341314908,44.24258406708335,19399.72529296875,19827.908359375004,26904.412314453126,19493.52550081537,20093.368603714862,0,1
2022-10-13 00:00:00+00:00,19156.966796875,19453.328125,18319.822265625,19382.904296875,44219840004,0.0,0.0,BTC-USD,-168.7613334953203,7.684000508936407,-176.4453340042567,47.324710020884005,19403.98857421875,19787.666054687503,26767.224374999998,19482.990148059143,20065.507258348593,0,1
2022-10-14 00:00:00+00:00,19382.533203125,19889.146484375,19115.408203125,19185.65625,38452356727,0.0,0.0,BTC-USD,-173.38983888399162,2.444396096212074,-175.8342349802037,44.98201118278295,19416.42080078125,19739.361093749998,26627.51263671875,19454.672633958275,20031.003297236883,0,1
2022-10-15 00:00:00+00:00,19185.4375,19212.541015625,19019.25,19067.634765625,16192235532,0.0,0.0,BTC-USD,-184.45502745620252,-6.896633980799038,-177.55839347540348,43.59153452576321,19429.697656250002,19715.5133984375,26485.522158203123,19417.8118845932,19993.224139134454,1,1
2022-10-16 00:00:00+00:00,19068.9140625,19389.603515625,19068.9140625,19268.09375,17988916650,0.0,0.0,BTC-USD,-175.03125305459253,2.0217123366487613,-177.0529653912413,46.61031365791116,19431.96875,19700.040507812497,26346.549306640627,19403.553014631943,19964.787653286043,1,1
2022-10-17 00:00:00+00:00,19268.5625,19635.802734375,19173.333984375,19550.7578125,27472552998,0.0,0.0,BTC-USD,-143.10459572507534,27.158695732932784,-170.26329145800813,50.623053784166636,19453.979296875004,19698.719375,26216.609716796873,19417.572519190806,19948.551188941496,0,1
